Nombre de nœuds,Balance moyenne
10,1.480000
20,2.016000
30,2.246000
40,2.734000
50,3.026800
60,3.054667
70,3.228857
80,3.333250
90,3.408667
100,3.403800
110,3.828545
120,4.028000
130,3.673692
140,3.861143
150,3.827467
160,3.984625
170,3.984000
180,4.000556
190,4.002947
200,4.100300
210,4.285524
220,4.298364
230,4.195217
240,4.401833
250,4.352160
260,4.448154
270,4.478889
280,4.366786
290,4.511448
300,4.656333
310,4.588645
320,4.731125
330,4.832909
340,4.718118
350,4.612629
360,4.757889
370,4.613243
380,4.777737
390,5.020667
400,4.934550
410,4.795756
420,4.948476
430,5.103488
440,4.964455
450,4.860044
460,5.184522
470,4.930894
480,5.163708
490,5.291469
500,5.119280
510,5.118157
520,5.069038
530,5.223547
540,5.138889
550,5.037200
560,5.349250
570,5.411053
580,5.456172
590,5.390576
600,5.329100
610,5.420492
620,5.275419
630,5.292921
640,5.354094
650,5.558831
660,5.279545
670,5.426388
680,5.248735
690,5.485594
700,5.578000
710,5.434451
720,5.285194
730,5.681589
740,5.439838
750,5.372267
760,5.441526
770,5.559039
780,5.606667
790,5.784633
800,5.669350
810,5.482494
820,5.362902
830,5.719904
840,5.657048
850,5.552800
860,5.724581
870,5.460391
880,5.524545
890,5.821798
900,5.794422
910,5.775297
920,5.520500
930,5.753118
940,5.648957
950,5.669832
960,5.756896
970,5.755856
980,5.868878
990,5.665152
1000,6.004820
1010,5.533228
1020,5.854098
1030,5.955049
1040,5.839385
1050,6.166724
1060,5.926208
1070,5.877458
1080,5.853315
1090,5.952734
1100,5.884527
1110,5.985009
1120,5.890161
1130,5.945912
1140,5.861193
1150,5.858800
1160,5.882345
1170,6.058513
1180,5.897068
1190,6.036420
1200,6.221517
1210,6.245868
1220,5.916426
1230,5.949333
1240,6.267129
1250,6.318192
1260,6.118206
1270,5.795512
1280,6.036703
1290,5.999969
1300,6.016554
1310,6.181664
1320,5.971712
1330,6.142722
1340,6.169925
1350,5.948281
1360,6.102824
1370,6.171942
1380,6.040464
1390,6.361871
1400,6.265957
1410,6.335986
1420,6.217352
1430,6.108308
1440,6.355722
1450,6.116055
1460,6.155110
1470,6.156299
1480,6.374365
1490,6.196483
1500,6.268040
1510,6.390212
1520,6.294224
1530,6.277948
1540,6.184584
1550,6.361187
1560,6.532705
1570,6.109962
1580,6.109785
1590,6.204138
1600,6.456863
1610,6.264832
1620,6.097136
1630,6.240098
1640,6.519829
1650,6.153515
1660,6.377747
1670,6.547485
1680,6.278321
1690,6.390462
1700,6.283553
1710,6.481427
1720,6.363733
1730,6.514682
1740,6.280402
1750,6.378823
1760,6.518068
1770,6.230588
1780,6.262865
1790,6.532849
1800,6.519656
1810,6.218044
1820,6.316956
1830,6.142689
1840,6.357348
1850,6.537514
1860,6.322505
1870,6.467166
1880,6.448777
1890,6.528444
1900,6.436337
1910,6.504586
1920,6.620875
1930,6.434933
1940,6.452505
1950,6.541569
1960,6.377480
1970,6.592518
1980,6.483323
1990,6.416422
2000,6.328240
2010,6.411662
2020,6.450891
2030,6.608315
2040,6.483539
2050,6.412702
2060,6.765709
2070,6.416551
2080,6.256413
2090,6.691091
2100,6.483667
2110,6.648303
2120,6.499038
2130,6.716413
2140,6.581953
2150,6.744837
2160,6.781269
2170,6.449816
2180,6.619394
2190,6.624740
2200,6.505700
2210,6.572127
2220,6.590658
2230,6.624565
2240,6.665866
2250,6.536871
2260,6.775805
2270,6.501692
2280,6.948219
2290,6.618201
2300,6.789183
2310,6.726381
2320,6.582388
